Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.99,Scribner,Paperback,471,1995,1940,,2021/12/29,"fav-book-titles, to-read","fav-book-titles (#5), to-read (#204)",to-read,,,,0,0
764073,When the Emperor Was Divine,Julie Otsuka,"Otsuka, Julie",,"=""""","=""""",0,3.81,Vintage,Paperback,144,2003,2002,,2021/11/16,"to-read, fav-book-titles","to-read (#181), fav-book-titles (#2)",to-read,,,,0,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""1250621798""","=""9781250621795""",0,3.84,Tor Books,Kindle Edition,416,2021,2021,,2021/12/29,"fav-book-titles, to-read","fav-book-titles (#1), to-read (#203)",to-read,,,,0,0
387562,The School for Scandal,Richard Brinsley Sheridan,"Sheridan, Richard Brinsley",,"=""1420927159""","=""9781420927153""",2,3.61,Digireads.Com,Paperback,92,2006,1777,2021/12/27,2021/11/18,"classics, dragged-on, funny-and-ish, meh","classics (#37), dragged-on (#23), funny-and-ish (#15), meh (#45)",read,,,,1,0
33646414,Poemas y sonetos (Spanish Edition),Juana Inés de la Cruz,"Cruz, Juana Inés de la",,"=""""","=""""",0,4.23,,Kindle Edition,84,2016,2016,,2021/12/23,to-read,to-read (#202),to-read,,,,0,0
30091914,Human Acts,Han Kang,"Kang, Han",Deborah     Smith,"=""1101906723""","=""9781101906729""",0,4.27,Hogarth,Hardcover,218,2017,2014,,2021/12/19,to-read,to-read (#201),to-read,,,,0,0
279969,The Penguin Book of Vampire Stories,Alan Ryan,"Ryan, Alan","Fritz Leiber, Richard Matheson, Robert Bloch, Mary Elizabeth Braddon, John William Polidori, R. Chetwynd-Hayes, August Derleth, James Malcolm Rymer, Mary E. Wilkins Freeman, Charles L. Grant, Clark Ashton Smith, Robert Aickman, Bram Stoker, Carl Jacobi, Steve Rasnic Tem, M.R. James, Charles Beaumont, E.F. Benson, C.M. Kornbluth, Manly Wade Wellman, Algernon Blackwood, Chelsea Quinn Yarbro, F. Marion Crawford, Ramsey Campbell, P. Schuyler Miller, C.L. Moore, Suzy McKee Charnas, Lord Byron, J. Sheridan Le Fanu, Tanith Lee","=""0140124454""","=""9780140124453""",0,3.94,Penguin,Paperback,637,1989,1987,,2021/12/18,to-read,to-read (#200),to-read,,,,0,0
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,"=""1250244498""","=""9781250244499""",0,3.90,Griffin,Paperback,418,2021,2021,,2021/12/13,to-read,to-read (#199),to-read,,,,0,0
34552743,The Iliac Crest,Cristina Rivera Garza,"Garza, Cristina Rivera",Sarah  Booker,"=""1936932067""","=""9781936932061""",0,3.64,The Feminist Press at CUNY,Kindle Edition,200,2017,2002,,2021/12/12,to-read,to-read (#198),to-read,,,,0,0
595375,Annie on My Mind,Nancy Garden,"Garden, Nancy",,"=""0374404143""","=""9780374404147""",0,4.02,"Farrar, Straus and Giroux (BYR)",Mass Market Paperback,234,1992,1982,,2021/12/11,to-read,to-read (#197),to-read,,,,0,0
